Dte.;Barris;"TOTAL
LOCALS
CADASTRALS";"Nombre
de locals
habitatge";"Nombre
de locals
aparcaments";Altres locals;;;;;;
;;;;;;;;;;;
BARCELONA;;1.410.532;825.755;375.411;209.366;;;;;;
;;;;;;;;;;;
1;1. el Raval;33.041;23.444;3.038;6.559;;;;;;
1;2. el Barri Gòtic;17.738;10.505;924;6.309;;;;;;
1;3. la Barceloneta;11.868;9.233;1.522;1.113;;;;;;
1;4. Sant Pere, Santa Caterina i la Ribera;20.454;14.655;2.029;3.770;;;;;;
2;5. el Fort Pienc;26.385;15.665;7.887;2.833;;;;;;
2;6. la Sagrada Família;44.871;27.528;12.209;5.134;;;;;;
2;7. la Dreta de l'Eixample;53.567;27.085;10.743;15.739;;;;;;
2;8. l'Antiga Esquerra de l'Eixample;42.589;24.411;9.890;8.288;;;;;;
2;9. la Nova Esquerra de l'Eixample;54.995;30.208;18.054;6.733;;;;;;
2;10. Sant Antoni;34.411;20.281;8.447;5.683;;;;;;
3;11. el Poble Sec - Parc Montjuïc;27.483;19.216;3.791;4.476;;;;;;
3;12. la Marina del Prat Vermell - Zona Franca;5.873;798;1.453;3.622;;;;;;
3;13. la Marina de Port;24.365;13.277;9.149;1.939;;;;;;
3;14. la Font de la Guatlla;8.649;5.065;2.896;688;;;;;;
3;15. Hostafrancs;15.510;8.206;4.622;2.682;;;;;;
3;16. la Bordeta;13.984;8.530;3.963;1.491;;;;;;
3;17. Sants - Badal;19.428;11.751;5.498;2.179;;;;;;
3;18. Sants;36.707;21.170;9.636;5.901;;;;;;
4;19. les Corts;50.023;23.087;19.802;7.134;;;;;;
4;20. la Maternitat i Sant Ramon;22.169;11.683;7.535;2.951;;;;;;
4;21. Pedralbes;13.054;6.064;5.233;1.757;;;;;;
5;22. Vallvidrera, el Tibidabo i les Planes;5.218;3.491;836;891;;;;;;
5;23. Sarrià;25.737;12.776;8.953;4.008;;;;;;
5;24. les Tres Torres;18.096;7.054;8.694;2.348;;;;;;
5;25. Sant Gervasi - la Bonanova;26.846;12.718;10.104;4.024;;;;;;
5;26. Sant Gervasi - Galvany;52.315;25.506;15.669;11.140;;;;;;
5;27. el Putxet i el Farró;31.400;16.393;11.126;3.881;;;;;;
6;28. Vallcarca i els Penitents;16.020;9.018;5.402;1.600;;;;;;
6;29. el Coll;6.486;3.949;1.900;637;;;;;;
6;30. la Salut;11.900;6.995;3.403;1.502;;;;;;
6;31. la Vila de Gràcia;47.821;31.476;8.219;8.126;;;;;;
6;32. el Camp d'en Grassot i Gràcia Nova;30.295;18.567;7.677;4.051;;;;;;
7;33. el Baix Guinardó;19.230;12.507;4.655;2.068;;;;;;
7;34. Can Baró;6.644;4.805;969;870;;;;;;
7;35. el Guinardó;30.113;18.774;7.417;3.922;;;;;;
7;36. la Font d'en Fargues;8.808;5.297;2.553;958;;;;;;
7;37. el Carmel;23.465;15.494;4.969;3.002;;;;;;
7;38. la Teixonera;10.061;5.899;2.995;1.167;;;;;;
7;39. Sant Genís dels Agudells;4.690;3.560;687;443;;;;;;
7;40. Montbau;3.676;2.577;152;947;;;;;;
7;41. la Vall d'Hebron;4.837;3.968;367;502;;;;;;
7;42. la Clota;701;430;166;105;;;;;;
7;43. Horta;22.254;13.627;5.725;2.902;;;;;;
8;44. Vilapicina i la Torre Llobeta;20.051;12.227;5.424;2.400;;;;;;
8;45. Porta;18.744;11.518;5.334;1.892;;;;;;
8;46. el Turó de la Peira;9.464;6.969;1.215;1.280;;;;;;
8;47. Can Peguera;1.446;1.051;314;81;;;;;;
8;48. la Guineueta;10.790;6.801;3.156;833;;;;;;
8;49. Canyelles;3.601;2.921;327;353;;;;;;
8;50. les Roquetes;9.885;7.050;1.414;1.421;;;;;;
8;51. Verdun;8.498;5.985;1.606;907;;;;;;
8;52. la Prosperitat;18.997;12.679;4.384;1.934;;;;;;
8;53. la Trinitat Nova;4.472;3.561;585;326;;;;;;
8;54. Torre Baró;2.780;1.774;658;348;;;;;;
8;55. Ciutat Meridiana;4.603;3.957;126;520;;;;;;
8;56. Vallbona;1.518;850;405;263;;;;;;
9;57. la Trinitat Vella;6.542;4.338;1.379;825;;;;;;
9;58. Baró de Viver;1.810;1.112;459;239;;;;;;
9;59. el Bon Pastor;10.865;5.358;2.386;3.121;;;;;;
9;60. Sant Andreu;48.745;28.976;13.981;5.788;;;;;;
9;61. la Sagrera;23.699;13.483;7.303;2.913;;;;;;
9;62. el Congrés i els Indians;10.539;7.011;2.024;1.504;;;;;;
9;63. Navas;16.620;10.270;4.709;1.641;;;;;;
10;64. el Camp de l'Arpa del Clot;30.599;20.029;7.345;3.225;;;;;;
10;65. el Clot;20.777;12.436;6.158;2.183;;;;;;
10;66. el Parc i la Llacuna del Poblenou;17.191;7.278;5.775;4.138;;;;;;
10;67. la Vila Olímpica del Poblenou;12.492;4.654;6.423;1.415;;;;;;
10;68. el Poblenou;30.629;16.695;10.178;3.756;;;;;;
10;69. Diagonal Mar i el Front Marítim del Poblenou;15.874;6.380;8.440;1.054;;;;;;
10;70. el Besòs i el Maresme;12.430;9.693;1.190;1.547;;;;;;
10;71. Provençals del Poblenou;16.874;9.179;5.487;2.208;;;;;;
10;72. Sant Martí de Provençals;17.509;11.718;3.407;2.384;;;;;;
10;73. la Verneda i la Pau;18.711;13.059;2.860;2.792;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
